,cond_vol
1,49.739167532834536
2,50.62166690067888
3,51.07598536279367
4,51.31139137091595
5,51.43376708498145
6,51.497490929708356
7,51.53070222500674
8,51.548018940511966
9,51.55705017612163
10,51.56176083807527
11,51.564218060095726
12,51.56549986314081
13,51.56616852373758
14,51.566517337886765
15,51.56669930148003
16,51.566794225469955
17,51.566843744031736
18,51.5668695761697
19,51.566883051916186
