,0
Gross NPA (%),-0.014210366720882273
Net NPA (%),-0.059100143822601425
Provision Coverage Ratio (%),0.02677188650397344
CAR(%),0.023007031968244718
Tier 1 Capital,0.028289127382080226
Net Profit (cr),0.2340642712124672
