,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,4.7145,1.8389999999999997,68.615,14.2185,11.870999999999999,2400.85
std,3.1379300502082583,1.530682338387894,21.6331440399363,1.562192369716355,1.4054963536060847,2757.8164756121632
min,0.85,0.18,32.9,12.55,10.18,322.0
25%,2.1125,0.4,48.525,13.035,10.907499999999999,941.5
50%,3.81,1.795,73.5,13.825,11.14,1332.5
75%,7.175000000000001,3.235,86.125,14.592500000000001,13.0,2061.5
max,11.39,4.39,98.2,17.94,15.36,10995.0
