,0
Gross NPA (%),-0.0018393441660050636
Net NPA (%),-0.04323492935177342
Provision Coverage Ratio (%),0.006515851855543042
CAR(%),0.01256876454424627
Tier 1 Capital,0.00857405390349042
Net Profit (cr),0.17614617318692338
