Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.33125000000000004,-0.2954545454545454,-0.010368663594469973,-0.0007067137809186885,-0.018376722817764146,0.5079365079365079
2007,-0.30841121495327106,-0.22580645161290325,-0.020954598370198085,0.005657708628005631,0.012480499219968744,0.3276315789473685
2008,-0.3918918918918919,-0.25,-0.04399524375743147,-0.013361462728551432,-0.1348228043143297,0.23389494549058476
2009,-0.05555555555555558,0.2777777777777779,-0.09079601990049768,-0.09408410548823942,-0.016028495102404228,0.24899598393574296
2010,0.15294117647058814,1.3043478260869565,-0.36798905608755117,0.06687647521636508,-0.002714932126696934,0.10225080385852081
2011,1.0714285714285712,1.509433962264151,-0.24025974025974028,-0.006637168141592875,-0.003629764065335661,0.019253208868144744
2012,0.6403940886699508,0.6992481203007517,-0.06267806267806275,-0.028953229398663738,-0.03551912568306015,-0.09502003434459072
2013,0.10210210210210202,0.0,0.19756838905775087,-0.033639143730886834,-0.03871576959395662,-0.2669196710942442
2014,0.19891008174386937,0.10619469026548689,0.12944162436548234,0.01740506329113911,0.027504911591355707,-0.13546160483175151
2015,0.5136363636363634,0.6800000000000002,0.1078651685393257,0.0031104199066873672,0.03919694072657731,-0.2904191616766467
2016,0.12162162162162149,0.04523809523809508,0.06490872210953347,0.055813953488371926,0.08095676172953081,0.9774964838255977
2017,-0.01338688085676032,-0.13211845102505693,0.21714285714285708,-0.07856093979441992,-0.06297872340425537,-0.10455192034139404
2018,-0.035278154681139706,-0.015748031496062964,0.032863849765258246,0.052589641434263035,-0.008174386920980936,-0.7442414614773629
2019,0.6019690576652601,-0.14933333333333332,0.11969696969696986,0.06888720666161996,-0.022893772893772923,1.3385093167701863
2020,-0.13520632133450405,0.056426332288401326,0.11096075778078474,0.11260623229461775,0.11996251171508887,2.99070385126162
2021,-0.14010152284263955,-0.3264094955489615,0.06455542021924487,0.05219605346912792,0.10209205020920509,0.3128119800332778
2022,-0.2975206611570248,-0.6035242290748899,0.0755148741418763,-0.002419842710223996,0.0037965072133636646,0.33891001267427123
2023,-0.33613445378151263,-0.5222222222222223,0.02765957446808498,-0.003032140691327956,0.06883509833585477,0.5265051117001136
2024,-0.21772151898734182,-0.5581395348837209,0.016563146997929712,0.09124087591240881,0.08704883227176219,0.36363636363636354
