,0
Gross NPA (%),-0.028308009907607623
Net NPA (%),-0.02111417645738556
Provision Coverage Ratio (%),0.00964657727302809
CAR(%),0.012210169017417671
Tier 1 Capital,0.02624869549735287
Net Profit (cr),0.181226343877122
