,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,4.957500000000001,1.8429999999999995,76.366,13.955999999999998,10.8625,4217.85
std,3.7068015365782596,1.6945239977490338,9.996916577256787,1.554113048790548,1.9375292867056502,6272.4755649709705
min,1.27,0.31,60.1,11.8,8.31,-5396.0
25%,2.155,0.57,67.9525,12.84,9.455,828.5
50%,3.415,1.085,75.57,13.535,10.295000000000002,2642.5
75%,9.0025,3.0999999999999996,81.44749999999999,14.75,11.83,4657.5
max,12.26,5.49,94.1,17.19,14.79,19581.0
