Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.3666666666666666,-0.31034482758620696,-0.030225736513199708,-0.1355311355311355,-0.08075221238938035,0.24062877871825883
2007,-0.25506072874493935,-0.21666666666666667,-0.009600210415570798,0.09491525423728797,0.025270758122743597,0.39961013645224175
2008,-0.3097826086956522,-0.34042553191489355,0.006904793520116748,0.08746130030959764,0.10093896713615047,0.5508356545961002
2009,0.07086614173228356,0.09677419354838723,-0.0090993010681788,0.02206405693950164,0.010660980810234477,0.3731477323753929
2010,0.0,0.02941176470588225,-0.0031940377961138244,0.011142061281337101,0.05168776371308015,0.3871811641595815
2011,0.125,0.5428571428571431,-0.12550066755674238,0.010330578512396826,0.08726178535606821,0.1803394625176804
2012,0.5686274509803921,1.3703703703703702,0.04122137404580162,-0.09338786639400132,-0.06549815498154976,-0.10505292590373472
2013,0.2958333333333334,0.1875,0.01026392961876832,-0.07669172932330837,-0.08390918065153019,0.013389868332961408
2014,0.1961414790996785,0.24342105263157876,-0.06240928882438335,0.026058631921824116,0.06357758620689657,-0.2517066725390883
2015,1.685483870967742,1.6772486772486772,-0.06965944272445812,0.0452380952380953,0.09321175278622085,-2.5879929370217774
2016,0.04704704704704721,-0.06719367588932801,0.1119800332778702,-0.07061503416856485,-0.07970342910101946,-1.2563009636767977
2017,0.17208413001912026,0.1631355932203391,0.005686069130629967,-0.008986928104575131,0.053373615307150235,-2.7584960231381057
2018,-0.21451876019575844,-0.39344262295081966,0.17065912810593686,0.10634789777411369,0.10420650095602291,-1.1780427631578947
2019,-0.023883696780893082,-0.06006006006006015,0.03368073207930844,-0.00894187779433675,-0.07272727272727275,0.26096997690531176
2020,-0.056382978723404364,-0.012779552715655007,0.005778925365793608,0.12706766917293222,0.1830065359477122,0.5183150183150182
2021,-0.25479143179255903,-0.4433656957928802,0.08447432762836171,0.06604402935290188,0.06471981057616416,7.772014475271412
2022,-0.42662632375189113,-0.4825581395348837,0.041934392965844,0.016270337922402955,0.03706449221645669,0.9403190319031902
2023,-0.2295514511873351,-0.2359550561797752,0.009412528399870057,0.004310344827586299,0.0042887776983560055,0.2606661941885189
2024,-0.226027397260274,-0.1470588235294119,0.008574490889603492,0.053954629061925274,0.05266903914590726,0.100798290982685
