,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,4.574,2.0845000000000002,62.605500000000006,13.1555,10.099,17778.4
std,2.1886174439105326,1.241940226547071,15.079296184539006,0.8452123682060153,1.3084498663042385,20246.739704794058
min,1.82,0.47,37.41,11.88,7.77,-6547.0
25%,3.01,1.545,48.04,12.559999999999999,9.34,7881.0
50%,4.11,1.8050000000000002,64.845,13.085,9.855,10687.5
75%,5.5125,2.315,75.005,13.8375,11.12,15968.5
max,10.91,5.73,87.75,14.68,12.3,70901.0
