,0
Gross NPA (%),-0.0354039404163593
Net NPA (%),-0.07036464499159367
Provision Coverage Ratio (%),0.02326447245687624
CAR(%),0.009619690021678062
Tier 1 Capital,0.014480364088567121
Net Profit (cr),0.1574453380098937
