Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.1911357340720221,-0.17021276595744672,-0.027963272120200444,0.03872053872053871,-0.14423076923076916,0.030406171999092457
2007,0.041095890410958846,0.14102564102564097,-0.11013310433662504,0.024311183144246407,0.0586766541822723,0.4818321955516407
2008,-0.05921052631578949,0.00561797752808979,-0.09746682750301583,0.12104430379746822,0.06485849056603765,0.3554762966265419
2009,0.06643356643356646,-0.03910614525139666,0.16573108794440006,-0.04798870853916726,0.027685492801771794,0.004933669553776943
2010,0.07540983606557372,-0.05232558139534893,0.1534051822976381,-0.11193476649369904,-0.16271551724137934,-0.09829805804058478
2011,0.35365853658536595,0.11656441717791433,0.2671968190854872,0.1569282136894823,0.2599742599742598,0.416454930429522
2012,0.1936936936936935,0.15384615384615397,-0.052714151239410145,-0.06782106782106778,-0.03064351378958108,0.20483471427351163
2013,-0.06603773584905659,0.22380952380952368,-0.20370983769460094,-0.037151702786377694,0.02423603793466822,-0.2278624601205247
2014,-0.14141414141414144,-0.17509727626459137,0.4378119800332778,-0.03536977491961413,-0.012345679012345734,0.2030116610044992
2015,0.5294117647058822,0.7971698113207546,-0.12208881816866768,0.09333333333333327,0.03333333333333344,-0.24049763394901547
2016,0.06153846153846154,-0.026246719160105014,0.08666996210248823,-0.0007621951219511924,0.043346774193548265,0.05356245603456933
2017,0.5811594202898551,0.5444743935309975,0.00333586050037904,-0.0389016018306636,0.0009661835748790981,-1.62447539107211
2018,-0.30980751604032997,-0.4746945898778361,0.18981411515792668,0.009523809523809712,0.027992277992278103,-1.1316633572628685
2019,-0.18326693227091628,-0.25913621262458464,0.062111012320589465,0.02672955974842761,0.034741784037558565,15.807424593967518
2020,-0.19024390243902434,-0.32735426008968604,0.04939009806266448,0.05206738131699851,0.038112522686025496,0.40875207067918273
2021,-0.20281124497991976,-0.31999999999999995,-0.14529914529914534,0.0065502183406114245,-0.0017482517482516613,0.5519843214110729
2022,-0.2997481108312343,-0.3431372549019608,0.01866666666666683,0.061460592913955114,0.05604203152364273,0.5858062886728121
2023,-0.19424460431654667,-0.14925373134328368,-0.018062827225130973,-0.027247956403269824,-0.010779436152570598,0.21589823220257998
2024,-0.1875,-0.17543859649122806,-0.011197014129565308,-0.0021008403361344463,0.031014249790444426,0.16084614503004402
