Feature,Importance
Gross NPA (%),0.09902470934472604
Net NPA (%),0.38064617943594686
Provision Coverage Ratio (%),0.11842851947919546
CAR(%),0.35724163872853776
Tier 1 Capital,0.5919900228186923
