BANK,Year,Anomaly_Score
HDFC,2024,-0.03506347387214759
ICICI,2005,0.18303771032366078
ICICI,2006,0.12021004507603311
ICICI,2007,0.17207613034170754
ICICI,2008,0.16880375624152344
ICICI,2009,0.12917245654220333
ICICI,2010,0.13739035453156218
ICICI,2011,0.1566204187937737
ICICI,2012,0.16695005066659913
ICICI,2013,0.15677221774171657
ICICI,2014,0.14761911991334348
ICICI,2015,0.10417256869857627
ICICI,2016,-0.011105580781414548
ICICI,2017,-0.015699940879932428
ICICI,2018,0.1211074131831052
ICICI,2019,0.1464739000425705
ICICI,2020,0.06724833525724783
ICICI,2021,0.07334353529565191
ICICI,2022,0.06507047719837267
ICICI,2023,0.09325262984737998
ICICI,2024,0.08278862144929583
INDIAN BANK,2005,0.1759885026852397
INDIAN BANK,2006,0.18094364273096958
INDIAN BANK,2007,0.17194364523317163
INDIAN BANK,2008,0.17697730509185927
INDIAN BANK,2009,0.16394084680407828
INDIAN BANK,2010,0.13862004870839367
INDIAN BANK,2011,0.12463125181696755
INDIAN BANK,2012,0.11607636752670103
INDIAN BANK,2013,0.13461161740526645
INDIAN BANK,2014,0.14828183486644425
INDIAN BANK,2015,0.11674276103988751
INDIAN BANK,2016,0.11036086443892801
INDIAN BANK,2017,0.1410459679578211
INDIAN BANK,2018,0.1486893352862087
INDIAN BANK,2019,0.10884102005897406
INDIAN BANK,2020,0.10597749818645225
INDIAN BANK,2021,0.10350252811568872
INDIAN BANK,2022,0.12423734282102872
INDIAN BANK,2023,0.13280444637039868
INDIAN BANK,2024,0.07968171612302544
PNB,2005,0.06503836138021024
PNB,2006,0.153990828965253
PNB,2007,0.18140612911389076
PNB,2008,0.1390011673058627
PNB,2009,0.19517565577201407
PNB,2010,0.13905198875748875
PNB,2011,0.16272723945336054
PNB,2012,0.145273420217432
PNB,2013,0.12330329536460904
PNB,2014,0.08794903985159547
PNB,2015,-0.03557748312117526
PNB,2016,0.0062874405358378516
PNB,2017,-0.1807363461563648
PNB,2018,-0.08622468750171941
PNB,2019,0.03184773945596231
PNB,2020,0.035274463704599524
PNB,2021,0.06830053757228016
PNB,2022,0.09988026273275313
PNB,2023,0.11842283018892569
PNB,2024,0.1305601477345315
SBI,2005,0.15127404658579174
SBI,2006,0.14044309524228765
