,Eigenvector,Betweenness
AXIS BANK,0.3333333333333333,0.0
BOB,0.3333333333333333,0.0
CITY UNION BANK,0.3333333333333333,0.0
FEDERAL BANK,0.3333333333333333,0.0
HDFC,0.3333333333333333,0.0
ICICI,0.3333333333333333,0.0
INDIAN BANK,0.3333333333333333,0.0
PNB,0.3333333333333333,0.0
SBI,0.3333333333333333,0.0
