BANK,Shock_Impact
AXIS BANK,1.0
BOB,0.8987567471282708
CITY UNION BANK,0.4651461592357702
FEDERAL BANK,-0.03450044399471931
HDFC,0.041933717127640185
ICICI,0.8417847748012657
INDIAN BANK,0.7780725359999748
PNB,0.9003598115516319
SBI,0.8232167798053037
