,Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Gross NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Net NPA (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),Provision Coverage Ratio (%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),CAR(%),Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Tier 1 Capital,Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr),Net Profit (cr)
2013,,,,,,,,,5.25,,,,,,,,,,,,1.9,3.91,,,,,,,,,2.85,,,,,,,,,,,,0.722,2.1166666666666667,,,,,,,,,47.4,,,,,,,,,,,,64.6,52.126666666666665,,,,,,,,,12.11,,,,,,,,,,,,15.998,12.453333333333333,,,,,,,,,9.0,,,,,,,,,,,,13.187999999999999,9.726666666666667,,,,,,,,,3343.0,,,,,,,,,,,,5138.4,5530.333333333333
2014,,,,,,,,,,6.55,,,,,,,,,,,1.9899999999999998,4.123333333333334,,,,,,,,,,4.06,,,,,,,,,,,0.866,2.17,,,,,,,,,,40.0,,,,,,,,,,,61.220000000000006,59.41,,,,,,,,,,12.89,,,,,,,,,,,16.176,12.486666666666666,,,,,,,,,,9.68,,,,,,,,,,,13.846,9.976666666666667,,,,,,,,,,3062.0,,,,,,,,,,,6030.0,5834.0
2015,,,,,,,,,,,12.9,,,,,,,,,,2.758,7.716666666666666,,,,,,,,,,,8.61,,,,,,,,,,1.426,4.3566666666666665,,,,,,,,,,,51.0,,,,,,,,,,60.92,56.696666666666665,,,,,,,,,,,11.28,,,,,,,,,,15.394,13.063333333333333,,,,,,,,,,,8.67,,,,,,,,,,13.392,10.526666666666666,,,,,,,,,,,-3974.0,,,,,,,,,,6232.8,1755.3333333333333
2016,,,,,,,,,,,,12.53,,,,,,,,,3.998,8.276666666666667,,,,,,,,,,,,7.81,,,,,,,,,2.1719999999999997,4.273333333333333,,,,,,,,,,,,55.9,,,,,,,,,57.1,61.76,,,,,,,,,,,,11.66,,,,,,,,,14.962,12.99,,,,,,,,,,,,9.17,,,,,,,,,13.113999999999999,10.676666666666668,,,,,,,,,,,,1325.0,,,,,,,,,5872.8,4424.333333333333
2017,,,,,,,,,,,,,18.38,,,,,,,,4.8,10.18,,,,,,,,,,,,,11.24,,,,,,,,2.524,5.010000000000001,,,,,,,,,,,,,58.4,,,,,,,,58.660000000000004,65.76,,,,,,,,,,,,,9.2,,,,,,,,16.146,12.426666666666668,,,,,,,,,,,,,7.21,,,,,,,,14.413999999999998,10.61,,,,,,,,,,,,,-12283.0,,,,,,,,5202.2,-2573.3333333333335
2018,,,,,,,,,,,,,,15.5,,,,,,,3.974,8.090000000000002,,,,,,,,,,,,,,6.56,,,,,,,1.6060000000000003,3.3633333333333333,,,,,,,,,,,,,,74.5,,,,,,,65.1,74.47000000000001,,,,,,,,,,,,,,9.73,,,,,,,15.906,13.116666666666667,,,,,,,,,,,,,,7.49,,,,,,,14.1,11.040000000000001,,,,,,,,,,,,,,-9975.0,,,,,,,6209.0,539.0
2019,,,,,,,,,,,,,,,14.21,,,,,,3.782,8.98,,,,,,,,,,,,,,,5.78,,,,,,1.4120000000000001,2.85,,,,,,,,,,,,,,,77.8,,,,,,65.38,79.61666666666667,,,,,,,,,,,,,,,14.14,,,,,,16.654000000000003,13.493333333333334,,,,,,,,,,,,,,,11.9,,,,,,15.1,10.799999999999999,,,,,,,,,,,,,,,363.0,,,,,,7566.8,5262.333333333333
2020,,,,,,,,,,,,,,,,14.12,,,,,3.7760000000000007,7.8999999999999995,,,,,,,,,,,,,,,,5.73,,,,,1.3699999999999999,2.6533333333333333,,,,,,,,,,,,,,,,80.14,,,,,65.56,83.88333333333333,,,,,,,,,,,,,,,,14.32,,,,,18.234,14.813333333333333,,,,,,,,,,,,,,,,11.5,,,,,16.886,12.020000000000001,,,,,,,,,,,,,,,,2022.0,,,,,11216.0,8081.333333333333
2021,,,,,,,,,,,,,,,,,11.78,,,,3.05,6.3500000000000005,,,,,,,,,,,,,,,,,4.8,,,,1.1540000000000001,1.67,,,,,,,,,,,,,,,,,81.6,,,,66.24,83.70333333333333,,,,,,,,,,,,,,,,,14.5,,,,18.644,15.446666666666667,,,,,,,,,,,,,,,,,11.73,,,,17.14,12.693333333333333,,,,,,,,,,,,,,,,,3457.0,,,,15195.0,14297.666666666666
2022,,,,,,,,,,,,,,,,,,8.74,,,2.536,4.173333333333333,,,,,,,,,,,,,,,,,,2.72,,,0.8379999999999999,0.82,,,,,,,,,,,,,,,,,,86.9,,,71.364,87.61000000000001,,,,,,,,,,,,,,,,,,15.5,,,18.478,15.803333333333333,,,,,,,,,,,,,,,,,,12.69,,,16.716,13.090000000000002,,,,,,,,,,,,,,,,,,2507.0,,,17906.6,23208.0
2023,,,,,,,,,,,,,,,,,,,5.73,,2.19,3.0366666666666666,,,,,,,,,,,,,,,,,,,0.73,,0.726,0.5599999999999999,,,,,,,,,,,,,,,,,,,95.39,,71.076,88.30666666666666,,,,,,,,,,,,,,,,,,,15.97,,18.318,15.676666666666668,,,,,,,,,,,,,,,,,,,13.08,,16.82,13.37,,,,,,,,,,,,,,,,,,,9107.0,,26259.6,28976.0
2024,,,,,,,,,,,,,,,,,,,,3.95,1.842,2.39,,,,,,,,,,,,,,,,,,,,0.4,0.568,0.41333333333333333,,,,,,,,,,,,,,,,,,,,96.82,70.914,88.82666666666667,,,,,,,,,,,,,,,,,,,,17.01,18.674,16.46,,,,,,,,,,,,,,,,,,,,14.05,17.256,14.15,,,,,,,,,,,,,,,,,,,,10757.0,30443.2,33825.666666666664
