,0
Gross NPA (%),-0.0026960063028712566
Net NPA (%),-0.001209242919238629
Provision Coverage Ratio (%),-0.00046225257864274116
CAR(%),0.028885068320000373
Tier 1 Capital,0.03561841719696246
Net Profit (cr),0.26288533972454053
