Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.07142857142857129,-0.022727272727272707,-0.024781341107871557,0.14636283961437324,-0.04444444444444451,0.3099885189437428
2007,0.0,0.09302325581395343,-0.046337817638266166,0.039755351681957096,0.1976744186046513,0.3935144609991237
2008,0.523076923076923,0.34042553191489366,0.06896551724137945,0.10955882352941182,0.027184466019417375,0.4119496855345912
2009,-0.2777777777777778,-0.5079365079365079,0.14956011730205288,0.1557322730284958,0.2570888468809074,0.3376391982182627
2010,-0.2657342657342656,-0.3870967741935484,0.052295918367346816,-0.06995412844036708,-0.08270676691729328,0.3073593073593073
2011,-0.02857142857142858,-0.052631578947368474,-0.001212121212121109,0.018495684340320562,-0.0491803278688524,0.31609780947529287
2012,-0.0490196078431373,0.11111111111111116,-0.03276699029126218,0.016949152542373058,-0.0431034482758621,0.30172246951809556
2013,0.010309278350515427,0.3500000000000001,-0.0840652446675032,-0.04345238095238102,0.06306306306306309,0.26048171275646737
2014,-0.05102040816326525,-0.07407407407407418,0.008219178082191636,0.04480398257622897,0.16101694915254217,0.20500117952347252
2015,0.010752688172043001,0.1200000000000001,-0.048913043478260754,-0.07504466944609889,-0.03649635036496346,0.2036021926389977
2016,0.1170212765957448,0.1785714285714286,-0.014285714285714235,-0.06310367031551822,-0.030303030303030165,0.1833116460637605
2017,0.23809523809523814,0.21212121212121215,0.011594202898550732,0.01855670103092777,0.03515625,0.2018556701030927
2018,0.04615384615384621,-0.025000000000000022,0.02292263610315204,0.15452091767881226,0.1924528301886792,0.20535254760679367
2019,-0.07352941176470595,-0.07692307692307698,0.008403361344537785,0.08240794856808886,0.08860759493670867,0.24570642375937002
2020,0.04761904761904767,0.11111111111111116,-0.02777777777777779,0.014578833693304594,0.023255813953488413,0.1850554137944167
2021,-0.11363636363636376,-0.20000000000000007,0.04285714285714293,0.0058541777541245565,0.017045454545454364,0.18784548142434754
2022,-0.04273504273504258,-0.15625,0.041095890410958846,0.019047619047619202,-0.04469273743016744,0.1933930359027083
2023,0.10714285714285698,0.2222222222222221,-0.02631578947368418,-0.023883696780893082,-0.01754385964912286,0.3786755537418667
2024,0.07258064516129048,0.303030303030303,-0.08108108108108103,0.042553191489361764,0.04166666666666652,0.20765638360849836
