,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,1.2224999999999997,0.344,72.51500000000001,16.445,13.5665,19073.45
std,0.24167997543511083,0.10946761116758162,5.106061928830539,2.2337542153819974,3.0140936928824367,20749.343120801124
min,0.93,0.18,63.8,11.41,8.6,871.0
25%,1.0425,0.27,68.9,15.0225,11.475,3695.25
50%,1.25,0.33,71.7,16.655,13.225,11256.0
75%,1.3225,0.40750000000000003,74.5,18.5875,16.875,27471.75
max,1.98,0.63,82.5,19.6,17.9,73440.0
