Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.14214463840398994,1.714285714285714,-0.1564844587352625,0.06753246753246755,-0.0059880239520956335,0.07018763029881869
2007,-0.19767441860465118,-0.1578947368421053,-0.016518424396442133,0.09570154095701544,0.07469879518072275,0.33051948051948044
2008,-0.42028985507246364,-0.734375,0.15762273901808777,0.03849000740192454,0.12668161434977598,0.5085407515861395
2009,0.06874999999999987,2.1176470588235294,-0.2209821428571428,0.009265858873841903,-0.0019900497512439497,0.2633451957295374
2010,0.04678362573099415,0.6037735849056602,-0.24068767908309452,-0.1228813559322034,-0.15852442671984046,0.13521126760563384
2011,0.6368715083798884,0.7882352941176471,-0.06981132075471708,0.02495974235104681,0.09952606635071093,0.1017369727047146
2012,0.45733788395904407,0.5460526315789473,-0.05679513184584173,-0.0007855459544383603,0.0,-0.027846027846027854
2013,0.2295081967213115,0.2127659574468086,0.019354838709677358,-0.04795597484276737,-0.030172413793103425,-0.2959140690817186
2014,0.24761904761904763,0.4245614035087717,-0.1561181434599156,0.06440957886044596,0.0755555555555556,-0.08405623691295239
2015,0.969465648854962,1.1206896551724137,0.2749999999999999,-0.12490302560124134,-0.10433884297520657,-2.297844546048334
2016,-0.028682170542635776,-0.09291521486643439,0.0960784313725489,0.03368794326241131,0.05767012687427919,-1.3334172118772019
2017,0.46687948922585787,0.4391805377720872,0.04472271914132375,-0.2109777015437394,-0.2137404580152672,-10.270188679245283
2018,-0.1566920565832426,-0.41637010676156583,0.27568493150684925,0.05760869565217397,0.03883495145631066,-0.18790197834405276
2019,-0.08322580645161282,-0.11890243902439013,0.04429530201342269,0.4532374100719425,0.5887850467289719,-1.036390977443609
2020,-0.006333567909922677,-0.00865051903114189,0.03007712082262226,0.012729844413012614,-0.03361344537815125,4.570247933884297
2021,-0.16572237960339942,-0.16230366492146608,0.01821811829298725,0.012569832402234526,0.020000000000000018,0.7096933728981207
2022,-0.25806451612903225,-0.43333333333333324,0.06495098039215708,0.06896551724137923,0.08184143222506379,-0.27480474399768584
2023,-0.3443935926773455,-0.7316176470588236,0.09769850402761793,0.030322580645161246,0.030732860520094718,2.632628639808536
2024,-0.31064572425828973,-0.45205479452054786,0.014991089212705644,0.06512210394489681,0.07415902140672781,0.18117931261666853
