,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,7.607499999999999,3.4195000000000007,70.1725,13.088,9.940999999999999,1790.0
std,5.3822142528106305,3.265040460779363,18.35305650006932,1.9558941958253158,1.916759601103136,5355.713299586566
min,1.6,0.17,40.0,9.2,7.21,-12283.0
25%,3.3125,0.7075,52.5,11.997499999999999,8.6125,1410.5
50%,5.49,2.535,75.95,12.81,9.28,2784.5
75%,12.622499999999999,5.742500000000001,82.925,14.2,11.557500000000001,4037.0
max,18.38,11.24,96.82,17.01,14.05,10757.0
