,0
Gross NPA (%),-0.05481225753189012
Net NPA (%),-0.03582400205750491
Provision Coverage Ratio (%),-0.005751671706008654
CAR(%),0.01880972120842328
Tier 1 Capital,0.023072112958886226
Net Profit (cr),0.16433582116022438
