,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,2.918,0.8810000000000002,74.4135,15.1535,13.998999999999999,1256.8
std,0.7736148912734293,0.4166268051108115,7.792722836757784,2.0451876120349084,2.0016858684092953,1113.6409513038986
min,1.84,0.35,64.9,11.51,9.77,225.0
25%,2.435,0.5525,68.025,14.2975,13.2325,494.75
50%,2.84,0.735,71.65,14.975000000000001,14.094999999999999,838.5
75%,3.4125,1.2125,81.75,15.8525,14.78,1554.75
max,5.37,1.69,90.6,20.37,18.73,4052.0
