Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.3202979515828678,-0.6022727272727273,0.07728894173602852,0.03909643788010442,0.060388945752303025,0.30222222222222217
2007,-0.3013698630136986,0.34285714285714297,-0.09271523178807939,0.5292642140468227,0.5994208494208495,0.2559726962457338
2008,-0.007843137254901933,0.06382978723404253,-0.017031630170316392,0.11372334609076007,0.13035606517803267,0.361413043478261
2009,0.16600790513834007,0.1200000000000001,0.00990099009900991,-0.15807560137457055,-0.14095034703683929,-0.07185628742514971
2010,0.17966101694915237,0.0714285714285714,0.019607843137255054,-0.08746355685131191,-0.08203853325046617,0.26236559139784954
2011,-0.017241379310344862,-0.11666666666666659,0.019230769230769162,-0.0031948881789137795,-0.008124576844955933,0.323679727427598
2012,0.005847953216374213,0.8490566037735847,-0.14740566037735847,-0.05576923076923068,-0.058703071672355,0.0785070785070785
2013,-0.2848837209302325,-0.24489795918367352,-0.026279391424619547,0.027834351663272194,0.023930384336475763,0.0011933174224343368
2014,-0.1707317073170731,-0.013513513513513487,-0.078125,0.021136063408190298,0.02974504249291776,0.19904648390941593
2015,0.392156862745098,1.2465753424657535,0.10939907550077033,-0.09896507115135844,-0.10178817056396139,-0.5268389662027833
2016,-0.17957746478873238,-0.2195121951219512,-0.009722222222222299,-0.1105527638190954,-0.10719754977029095,0.7457983193277311
2017,0.28755364806866957,0.3203125,-0.06311360448807857,0.18644067796610164,0.20668953687821623,0.05776173285198549
2018,-0.026666666666666727,-0.12426035502958577,0.010479041916167775,-0.03809523809523796,-0.054015636105188336,0.4152445961319682
2019,-0.0273972602739726,-0.1148648648648648,0.010370370370370363,0.014851485148514865,-0.0015026296018032514,0.24035369774919624
2020,0.20070422535211274,-0.09160305343511455,-0.045454545454545525,0.01881533101045285,0.04213694507148236,0.030460142579390892
2021,-0.1788856304985338,-0.19327731092436973,0.01382488479262678,0.07865937072503426,0.04187725631768946,0.18867924528301883
2022,-0.15714285714285714,-0.28125,0.0609090909090908,-0.060875079264426035,-0.09632709632709635,0.5931216931216932
2023,-0.09745762711864403,-0.13043478260869557,0.01513853184804348,0.08710330857528703,0.13573619631901845,0.2358020591165726
2024,-0.136150234741784,-0.2666666666666666,0.06035453010692193,0.01863354037267073,0.017555705604321403,0.08895458210158558
