,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,2.753,1.398,51.565,16.1295,15.449000000000002,458.75
std,1.2091062379860764,0.8174775065310425,14.761374739858288,3.93372794259031,3.737884146778341,319.9961965234488
min,1.13,0.44,31.0,11.2,10.6,50.0
25%,1.8325,0.5975,40.0,13.035,12.4025,199.5
50%,2.675,1.275,46.0,15.54,14.955,418.5
75%,3.6175,1.85,61.25,17.450000000000003,16.7175,615.5
max,5.11,2.97,82.8,23.75,22.7,1124.0
