Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.28693181818181823,-0.6000000000000001,0.19136690647482002,0.022321428571428603,0.026415094339622858,0.28
2007,-0.26693227091633454,0.09090909090909083,-0.10024154589371981,0.18078602620087336,0.1902573529411764,0.578125
2008,0.02717391304347827,0.6875000000000002,-0.2214765100671141,-0.03402366863905315,-0.04092664092664089,0.20792079207920788
2009,-0.18518518518518512,-0.3950617283950618,0.19137931034482758,-0.007656967840734996,-0.005636070853462183,0.25409836065573765
2010,-0.18831168831168832,0.020408163265306145,-0.12735166425470335,-0.03703703703703709,-0.03238866396761142,0.40522875816993453
2011,-0.03200000000000003,-0.12,0.06301824212271967,0.008012820512820484,0.01087866108786617,0.30232558139534893
2012,-0.06611570247933896,0.4318181818181819,-0.297971918876755,0.11128775834658189,0.11837748344370858,0.1499999999999999
2013,0.601769911504425,0.9523809523809523,-0.2666666666666667,0.07367668097281821,0.08142116950407097,0.07763975155279512
2014,0.027624309392265234,0.05691056910569103,-0.06060606060606055,0.10059960026648906,0.10472279260780293,0.13832853025936598
2015,0.35483870967741926,0.17692307692307696,0.29032258064516125,-0.056900726392251744,-0.06443618339529122,0.11898734177215187
2016,0.12301587301587302,0.11764705882352944,0.0,-0.003209242618742003,-0.014569536423840956,0.1380090497737556
2017,0.07067137809187263,-0.005847953216374324,0.10000000000000009,0.04443013522215056,0.061155913978494514,0.17693836978131205
2018,-0.026402640264026278,0.06470588235294117,-0.11363636363636365,-0.04130702836004918,-0.04813172894236861,0.15371621621621623
2019,0.3254237288135593,0.26519337016574585,0.07692307692307687,0.07781350482315119,0.05123087159015305,-0.30307467057101023
2020,0.3069053708439897,0.29694323144104806,0.023809523809523725,0.16467780429594248,0.16772151898734178,0.2457983193277311
2021,-0.08023483365949124,-0.006734006734006703,-0.11627906976744184,0.06813524590163933,0.07208672086720869,0.281618887015177
2022,-0.07021276595744685,-0.20000000000000007,0.23684210526315796,0.07146282973621099,0.07532861476238617,0.23289473684210527
2023,-0.08695652173913038,-0.1652542372881356,0.0851063829787233,0.06222023276633837,0.06676069581570299,0.0843116328708644
2024,-0.2255639097744362,-0.36548223350253806,0.17647058823529416,0.0008428150021069225,0.00044072278536799736,0.10629921259842523
