,0
Gross NPA (%),-0.016479967931665618
Net NPA (%),-0.03175357852961369
Provision Coverage Ratio (%),0.005160995021491699
CAR(%),0.011373120185934171
Tier 1 Capital,0.02935027212315444
Net Profit (cr),0.16629454494086238
