Year,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
2005,,,,,,
2006,-0.11790393013100442,0.41666666666666674,-0.2749638205499275,-0.12434456928838955,-0.19565217391304335,0.22440944881889768
2007,0.6336633663366336,0.5196078431372548,0.07584830339321358,0.19503849443969212,0.3918918918918919,0.3369774919614148
2008,0.3090909090909093,0.26451612903225796,0.03525046382189245,0.11166785969935566,0.07766990291262132,-0.09620009620009617
2009,0.17129629629629606,-0.04591836734693866,0.15949820788530467,0.24983902124919521,0.25225225225225234,0.07104843001596595
2010,-0.11660079051383399,-0.49732620320855625,0.1746522411128284,0.006697578567748552,-0.052517985611510776,0.27975155279503117
2011,-0.1901565995525727,-0.22340425531914887,0.05789473684210544,-0.05220061412487209,-0.03720577069096431,0.2550960978450787
2012,-0.11049723756906071,0.0547945205479452,-0.044776119402985204,0.011879049676025932,0.009463722397476504,0.28770301624129924
2013,-0.05900621118012439,0.2597402597402596,-0.10677083333333337,-0.05549626467449298,-0.0015625000000001332,0.17837837837837833
2014,0.24752475247524752,0.6597938144329898,-0.1457725947521865,-0.03841807909604522,0.0,0.13914373088685017
2015,0.5396825396825398,0.8509316770186335,-0.13651877133105805,-0.02232667450058745,0.024256651017214415,-0.1296644295302013
2016,0.5017182130584192,0.8221476510067114,-0.2055335968379446,0.04507211538461542,0.09702062643239118,0.007711289327575477
2017,0.13272311212814647,0.0,0.18656716417910446,0.05922944220816562,0.10863509749303635,-0.3085399449035813
2018,-0.25454545454545463,-0.578268876611418,0.48008385744234783,-0.08306188925081437,-0.05213567839195976,-0.5037627268702967
2019,-0.18157181571815717,-0.32751091703056767,0.07223796033994345,-0.0461811722912967,-0.024519549370443983,1.35831103181683
2020,-0.11589403973509937,-0.19480519480519487,0.026420079260237816,0.18684047175667295,0.22690217391304324,1.041734964065061
2021,-0.29588014981273414,-0.346774193548387,0.019305019305019266,0.0020920502092049986,0.01605758582502781,0.44130179707280925
2022,-0.25265957446808507,-0.40740740740740744,0.045454545454545414,-0.04279749478079331,-0.04087193460490468,0.36663953039976005
2023,-0.2313167259786476,-0.125,-0.03019323671497587,-0.10959651035986917,-0.11363636363636376,0.28191622774015546
2024,-0.22685185185185197,-0.0714285714285714,-0.05105853051058529,0.013472137170851273,0.021794871794871717,0.1550332615926433
