,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,4.4365000000000006,1.6575,66.75,17.020999999999997,13.741999999999999,12782.9
std,2.2357461370812395,1.4530290503127017,13.06596623614995,2.123167693007686,2.8586629189553863,12960.922189006216
min,1.67,0.39,40.2,11.69,7.4,2540.0
25%,2.9749999999999996,0.76,55.324999999999996,16.275,12.754999999999999,4124.75
50%,3.7699999999999996,1.13,69.85,17.205,13.535,8128.0
75%,5.46,1.8925,77.025,18.575,15.68,12429.5
max,9.9,5.43,82.8,19.54,18.35,47227.0
